time,Lat.,Long.,Mw,magType
2024-04-04T03:52:38.707Z,41.3114,78.7696,4.3,mb
2024-03-31T13:25:33.505Z,36.6962,71.4021,4.4,mb
2024-03-31T00:25:15.149Z,39.0066,70.8647,5,mb
2024-03-28T23:41:55.941Z,36.1555,71.1424,4.4,mb
2024-03-28T10:55:10.409Z,36.247,71.1603,5,mb
2024-03-27T11:39:19.534Z,36.5888,67.8719,4.4,mb
2024-03-26T08:02:55.775Z,36.6164,71.0262,4.6,mb
2024-03-25T03:28:39.136Z,31.1869,70.3,4.5,mb
2024-03-25T03:27:32.051Z,31.0173,70.2164,4.5,mb
2024-03-24T10:36:04.218Z,36.7075,71.1842,3.8,mb
2024-03-23T19:54:35.526Z,36.3127,69.3851,3.8,mb
2024-03-23T03:45:31.393Z,41.1972,78.397,4.4,mb
2024-03-23T01:41:15.561Z,41.2292,78.4348,4.3,mb
2024-03-22T21:03:04.355Z,41.2138,78.647,4.1,mb
2024-03-22T03:47:04.011Z,39.3279,71.8628,5.2,mww
2024-03-18T07:26:19.539Z,38.4226,69.4833,4.3,mb
2024-03-18T02:10:38.894Z,38.5875,70.4189,4.1,mb
2024-03-17T14:29:24.711Z,36.7248,71.3751,4.1,mb
2024-03-15T02:47:15.842Z,41.3567,78.3283,4.4,mb
2024-03-14T16:12:32.122Z,37.5695,71.8274,4.3,mb
2024-03-13T16:42:09.718Z,36.4936,71.0078,4.3,mb
2024-03-13T15:24:11.785Z,36.2706,70.21,4.9,mb
2024-03-13T06:49:20.443Z,39.0778,74.4171,4.2,mb
2024-03-11T19:31:02.139Z,36.5653,70.8546,4,mb
2024-03-11T13:35:10.905Z,41.0948,78.4459,4.4,mb
2024-03-09T12:35:43.089Z,41.2434,78.8037,4.3,mwr
2024-03-08T05:50:34.667Z,36.7883,71.5034,4,mwr
2024-03-06T17:37:46.115Z,39.9107,76.5903,4.5,mb
2024-03-06T00:09:59.584Z,41.2949,78.7131,4.7,mb
2024-03-04T07:54:31.567Z,41.1784,78.6057,4.5,mb
2024-03-04T06:45:23.340Z,41.0319,78.1761,4.2,mb
2024-03-04T06:29:28.257Z,38.8137,64.8816,4.6,mb
2024-03-04T06:22:07.268Z,42.8364,76.897,4.7,mb
2024-03-03T09:24:29.299Z,41.1319,78.5586,4.4,mb
2024-03-03T07:05:39.346Z,38.144,74.0547,4.2,mb
2024-02-28T01:17:44.001Z,41.2413,78.8134,4.3,mb
2024-02-27T23:41:05.125Z,36.3624,71.3558,4.1,mb
2024-02-27T14:18:00.729Z,41.2549,78.459,4.2,mb
2024-02-26T17:55:57.498Z,41.1678,78.7406,4.4,mb
2024-02-26T17:46:03.063Z,41.2263,78.7773,4.4,mb
2024-02-26T14:20:28.301Z,41.2807,78.4912,4.3,mb
2024-02-26T12:28:42.849Z,41.218,78.8171,4.1,mwr
2024-02-26T01:28:52.154Z,41.2768,78.4605,3.9,mwr
2024-02-25T04:15:00.431Z,41.2117,78.4315,5.4,mb
2024-02-23T22:58:56.073Z,41.0638,78.5847,5,mb
2024-02-23T10:33:06.769Z,41.1736,78.543,4,mww
2024-02-23T05:49:24.733Z,38.3581,73.8801,4.5,mb
